key prob_value origin
0.0 0 NaN
0.1 -4.55784264617626 0
0.2 -9.11568529235252 0
0.3 -13.6735279385288 0
0.4 -18.231370584705 0
0.5 -22.7892132308813 0
0.6 -27.3504838237037 0
0.7 -31.914333110081 0
0.8 -36.4801926544198 0
0.9 -41.0476633198251 0
0.10 -45.6164541086257 0
0.11 -50.1863463330687 0
0.12 -54.7571714900118 0
0.13 -59.3287969967067 0
0.14 -63.901116658373 0
0.15 -68.4740441011594 0
0.16 -73.047508128343 0
0.17 -77.6214493612685 0
0.18 -82.1958177608685 0
0.19 -86.7076173002931 0
0.20 -91.1679282865252 0
0.21 -95.5781155066259 0
0.22 -99.9446331343032 0
0.23 -104.300382597302 0
0.24 -108.625190065382 0
0.25 -112.921139318003 0
0.26 -117.189291382444 0
0.27 -121.43230583106 0
0.28 -125.652471046682 0
0.29 -129.851771302322 0
0.30 -134.010848401257 0
0.31 -138.131257878875 0
0.32 -142.214439423486 0
0.33 -146.261729354464 0
0.34 -150.274371370269 0
0.35 -154.253525856189 0
0.36 -158.233827483272 0
0.37 -162.225386476649 0
0.38 -166.223050097451 0
0.39 -170.206645360198 0
0.40 -174.161205358145 0
0.41 -178.087549404842 0
0.42 -181.981325294549 0
0.43 -185.878767336701 0
0.44 -189.728637413531 0
0.45 -193.533096217477 0
0.46 -197.291188561595 0
0.47 -200.997683429978 0
0.48 -204.657149324384 0
0.49 -208.317009381443 0
0.50 -211.979850729114 0
0.51 -215.649344388549 0
0.52 -219.325534909524 0
0.53 -222.997086471012 0
0.54 -226.673088886568 0
0.55 -230.354056883369 0
0.56 -234.040919573237 0
0.57 -237.733577968867 0
0.58 -241.452366877302 0
0.59 -245.197986998356 0
0.60 -248.982144071453 0
0.61 -252.806374674119 0
0.62 -256.672351977228 0
0.63 -260.58182532651 0
0.64 -264.540337613194 0
0.65 -268.541687622861 0
0.66 -272.552256028684 0
0.67 -276.564992085048 0
0.68 -280.588989965771 0
0.69 -284.642316890577 0
0.70 -288.744182155669 0
0.71 -292.896811658354 0
0.72 -297.105226628723 0
0.73 -301.319286305814 0
0.74 -305.620570556311 0
0.75 -310.024508773337 0
0.76 -314.549526228515 0
0.77 -319.231713678734 0
0.78 -324.093553472246 0
0.79 -329.060381646019 0
0.80 -334.131056594605 0
0.81 -339.309704128963 0
0.82 -344.609427975775 0
0.83 -350.046933427487 0
0.84 -355.644284260122 0
0.85 -361.432173088069 0
0.86 -367.455656651002 0
0.87 -373.789805098104 0
0.88 -380.181844708281 0
0.89 -386.635516106185 0
0.90 -393.09952256376 0
0.91 -399.575800374483 0
0.92 -405.975479403042 41
0.93 -407.405338242963 41
0.94 -408.555900130074 41
0.95 -409.909390672755 41
0.96 -411.234560632739 41
0.97 -412.415370412881 41
0.98 -413.512811984506 41
0.99 -414.863993303301 41
0.100 -416.308127618585 41
0.101 -417.799317298642 42
0.102 -419.344587116658 42
0.103 -420.870825714514 42
0.104 -422.321840646052 42
0.105 -423.740134902045 42
0.106 -425.123506812056 42
0.107 -426.579594138163 42
0.108 -428.052253295795 42
0.109 -429.538115345 42
0.110 -431.063243070075 42
0.111 -432.628676271028 42
0.112 -434.235017936544 42
0.113 -435.883616495994 42
0.114 -437.577016565392 42
0.115 -439.317152694229 42
0.116 -441.107852102599 42
0.117 -442.951776913168 42
0.118 -444.858787379962 42
0.119 -446.821336593552 42
0.120 -448.842116608699 42
0.121 -450.922983767683 42
0.122 -453.062940063308 42
0.123 -455.254632390372 42
0.124 -457.51355467425 42
0.125 -459.744258506807 42
0.126 -462.001510071683 42
0.127 -464.340503420227 42
0.128 -466.83880891549 42
0.129 -469.139635850759 42
0.130 -471.274596757202 42
0.131 -473.352688947134 42
0.132 -475.416407913593 42
0.133 -477.530097393219 42
0.134 -479.781548247294 42
0.135 -482.092434209768 42
0.136 -484.345048482833 42
0.137 -486.514086154275 42
0.138 -488.732128573347 42
0.139 -491.003075533043 42
0.140 -493.266310796865 42
0.141 -495.527055469195 42
0.142 -497.785695899823 42
0.143 -500.040716834022 42
0.144 -502.290487212754 42
0.145 -504.58132867046 42
0.146 -506.861233829575 42
0.147 -509.127614688652 42
0.148 -511.384762540602 42
0.149 -513.633882552368 42
0.150 -515.875419135514 42
0.151 -518.109053077591 42
0.152 -520.334874287905 42
0.153 -522.551216020745 42
0.154 -524.773163698976 42
0.155 -527.003400343455 42
0.156 -529.179151728632 42
0.157 -531.402703256555 42
0.158 -533.675659688148 42
0.159 -535.99977286989 42
0.160 -538.379059509567 42
0.161 -540.808337869574 42
0.162 -543.26303309218 42
0.163 -545.698472928409 42
0.164 -548.113333549302 42
0.165 -550.508572519922 42
0.166 -552.927667805925 42
0.167 -555.352509133509 42
0.168 -557.711036050506 42
0.169 -560.007408279401 42
0.170 -562.215213532946 42
0.171 -564.427418844826 42
0.172 -566.642416945382 42
0.173 -568.888564406506 42
0.174 -571.090927067083 42
0.175 -573.195191715467 42
0.176 -575.261305517473 42
0.177 -577.321109325923 42
0.178 -579.302048392745 42
0.179 -581.209883904849 42
0.180 -583.04942371535 42
0.181 -584.835748285566 42
0.182 -586.541549983496 42
0.183 -588.172257063281 42
0.184 -589.732773473768 42
0.185 -591.226305413941 42
0.186 -592.700469839934 42
0.187 -594.097072967291 42
0.188 -595.420477527002 42
0.189 -596.676153993628 42
0.190 -597.868312091006 42
0.191 -599.002138003455 42
0.192 -600.073521516078 42
0.193 -601.131809129339 42
0.194 -602.179752156112 42
0.195 -603.193258198031 42
0.196 -604.195086442175 42
0.197 -605.128844780675 42
0.198 -606.05266014194 42
0.199 -606.966875541544 42
0.200 -607.961957536943 42
0.201 -608.932440708895 42
0.202 -609.885157641471 42
0.203 -610.715536158266 42
0.204 -611.534068900556 42
0.205 -612.447059577446 42
0.206 -613.376389801872 42
0.207 -614.211772447489 42
0.208 -615.047516951985 42
0.209 -615.885318635528 42
0.210 -616.726030664159 42
0.211 -617.50707879313 42
0.212 -618.293914400247 42
0.213 -619.086750388187 42
0.214 -619.885979690116 42
0.215 -620.692239870918 42
0.216 -621.228670112096 42
0.217 -621.715658088123 42
0.218 -622.246606841582 42
0.219 -622.90626179617 42
0.220 -623.731347641932 42
0.221 -624.636396472383 42
0.222 -625.577704792742 42
0.223 -626.523873125706 42
0.224 -627.473247598786 42
0.225 -628.488961130697 42
0.226 -629.46025757755 42
0.227 -630.459613936971 42
0.228 -631.471749361147 42
0.229 -632.496806924034 42
0.230 -633.511707654597 42
0.231 -634.545733557825 42
0.232 -635.599092710634 42
0.233 -636.689887381222 42
0.234 -637.795158948342 42
0.235 -638.883937422466 42
0.236 -639.972464610192 42
0.237 -641.041891168596 42
0.238 -642.164170782884 42
0.239 -643.346482809724 42
0.240 -644.590531689665 42
0.241 -645.900922695922 42
0.242 -647.280188020724 42
0.243 -648.730590940122 42
0.244 -650.251162392399 42
0.245 -651.845876202238 42
0.246 -653.534658069097 42
0.247 -655.295811261568 42
0.248 -657.137313196246 42
0.249 -658.956738691581 42
0.250 -660.755562918895 42
0.251 -662.586871718023 42
0.252 -664.458647871444 42
0.253 -666.392653190139 42
0.254 -668.395864000771 42
0.255 -670.456628870159 42
0.256 -672.631490036265 42
0.257 -674.894607031606 42
0.258 -677.25257623563 42
0.259 -679.694431450898 42
0.260 -682.229022976834 42
0.261 -684.864386604246 42
0.262 -687.611755354003 42
0.263 -690.48808177609 42
0.264 -693.514626816297 42
0.265 -696.724563386583 42
0.266 -700.102646345929 42
0.267 -703.52994949613 0
0.268 -706.976583425132 0
0.269 -710.444520317526 0
0.270 -713.934545906053 0
0.271 -717.446837708966 0
0.272 -720.979274576568 0
0.273 -724.526089248936 0
0.274 -728.087491466614 0
0.275 -731.682958995821 0
0.276 -735.321699847006 0
0.277 -738.982816756595 0
0.278 -742.637719632843 0
0.279 -745.956684501323 42
0.280 -749.282694492986 42
0.281 -752.618960898341 42
0.282 -755.966057829678 42
0.283 -759.324106220904 42
0.284 -762.690574014932 42
0.285 -766.066207136096 42
0.286 -769.451139605107 42
0.287 -772.845420562611 42
0.288 -776.249152677058 42
0.289 -779.662427921373 42
0.290 -783.08345069645 42
0.291 -786.512904181533 42
0.292 -789.950712904509 42
0.293 -793.393738386698 42
0.294 -796.843109291848 42
0.295 -800.295118175393 42
0.296 -803.743028508942 42
0.297 -807.189633301039 42
0.298 -810.634568049924 42
0.299 -814.076525237651 42
0.300 -817.51555634919 42
0.301 -820.951830068114 42
0.302 -824.385012218349 42
0.303 -827.819764045812 42
0.304 -831.254515873276 42
0.305 -834.664328731061 42
0.306 -838.259356683285 42
0.307 -842.066019173055 0
0.308 -845.872681662826 0
1.0 0 NaN
1.1 -4.64289180523097 1
1.2 -9.28578361046193 1
1.3 -13.9286754156929 1
1.4 -18.5715672209239 1
1.5 -23.2144590261548 1
1.6 -27.8607787780319 1
1.7 -32.509677223464 1
1.8 -37.1605859268575 1
1.9 -41.8131057513174 1
1.10 -46.4669456991727 1
1.11 -51.1218870826705 1
1.12 -55.7777613986683 1
1.13 -60.4344360644179 1
1.14 -65.0918048851389 1
1.15 -69.74978148698 1
1.16 -74.4082946732184 1
1.17 -79.0672850651985 1
1.18 -83.7267026238532 1
1.19 -88.3871768343393 1
1.20 -93.0495372504081 1
1.21 -97.7108397849305 1
1.22 -102.371177404006 1
1.23 -106.625678156008 1
1.24 -110.830718159505 1
1.25 -114.99079993519 1
1.26 -119.131176200176 1
1.27 -123.253595788475 1
1.28 -127.359582069072 1
1.29 -131.450470481877 1
1.30 -135.503552636989 1
1.31 -139.520205931375 1
1.32 -143.501710914596 1
1.33 -147.449261157141 1
1.34 -151.363971821973 1
1.35 -155.246887145527 1
1.36 -159.129493090059 1
1.37 -163.020940036173 1
1.38 -166.916539554941 1
1.39 -170.798077339548 1
1.40 -174.65204724481 1
1.41 -178.479188913889 1
1.42 -182.275553727528 1
1.43 -186.074001763836 1
1.44 -189.828078075414 1
1.45 -193.53966814622 1
1.46 -197.207827804106 1
1.47 -200.827685749224 1
1.48 -204.403340698019 1
1.49 -207.962401383236 1
1.50 -211.507768245651 1
1.51 -215.041808309806 1
1.52 -218.564648436474 1
1.53 -222.211949212207 1
1.54 -225.875594006688 1
1.55 -229.556562003489 1
1.56 -233.243424693357 1
1.57 -236.936083088987 1
1.58 -240.654871997422 1
1.59 -244.400492118475 1
1.60 -248.184649191573 1
1.61 -252.008879794239 1
1.62 -255.874857097347 1
1.63 -259.78433044663 1
1.64 -263.742842733314 1
1.65 -267.744192742981 1
1.66 -271.754761148804 1
1.67 -275.767497205167 1
1.68 -279.791495085891 1
1.69 -283.844822010697 1
1.70 -287.946687275789 1
1.71 -292.099316778474 1
1.72 -296.307731748842 1
1.73 -300.521791425933 1
1.74 -304.823075676431 1
1.75 -309.227013893457 1
1.76 -313.752031348635 1
1.77 -318.434218798854 1
1.78 -323.296058592366 1
1.79 -328.262886766138 1
1.80 -333.333561714725 1
1.81 -338.512209249082 1
1.82 -343.811933095895 1
1.83 -349.249438547607 1
1.84 -354.846789380242 1
1.85 -360.634678208188 1
1.86 -366.658161771122 1
1.87 -372.992310218224 1
1.88 -379.384349828401 1
1.89 -385.838021226305 1
1.90 -392.30202768388 1
1.91 -398.778305494603 1
1.92 -405.272241099335 1
1.93 -407.405338242963 41
1.94 -408.555900130074 41
1.95 -409.909390672755 41
1.96 -411.234560632739 41
1.97 -412.415370412881 41
1.98 -413.512811984506 41
1.99 -414.863993303301 41
1.100 -416.273514528856 41
1.101 -417.75015661361 42
1.102 -419.286303322049 42
1.103 -420.803833207863 42
1.104 -422.205588132228 42
1.105 -423.582889725147 42
1.106 -424.910317957302 42
1.107 -426.356187333541 42
1.108 -427.818927319214 42
1.109 -429.291320290626 42
1.110 -430.803455169053 42
1.111 -432.356345063937 42
1.112 -433.950152805081 42
1.113 -435.586717853514 42
1.114 -437.26906096052 42
1.115 -438.998534551484 42
1.116 -440.779050470406 42
1.117 -442.613136323238 42
1.118 -444.507560533511 42
1.119 -446.457736623104 42
1.120 -448.466439906263 42
1.121 -450.535648541654 42
1.122 -452.664639482907 42
1.123 -454.847040489858 42
1.124 -457.073235601119 42
1.125 -459.274709758555 42
1.126 -461.50007710799 42
1.127 -463.767348701895 42
1.128 -466.095007589136 42
1.129 -468.289144260212 42
1.130 -470.43269503031 42
1.131 -472.521423593264 42
1.132 -474.595675908961 42
1.133 -476.719797268694 42
1.134 -478.985373992412 42
1.135 -481.312342167086 42
1.136 -483.678271517791 42
1.137 -485.931175048201 42
1.138 -488.218411526582 42
1.139 -490.55092890468 42
1.140 -492.870362260474 42
1.141 -495.180064655343 42
1.142 -497.481972843622 42
1.143 -499.775295943872 42
1.144 -502.058569751672 42
1.145 -504.331755118867 42
1.146 -506.59488777919 42
1.147 -508.843414434622 42
1.148 -511.086606918414 42
1.149 -513.323129965886 42
1.150 -515.552919732388 42
1.151 -517.775064256423 42
1.152 -519.989899202916 42
1.153 -522.194619991743 42
1.154 -524.405561350974 42
1.155 -526.626838727443 42
1.156 -528.758039378723 42
1.157 -530.944793999074 42
1.158 -533.18705064985 42
1.159 -535.484958885245 42
1.160 -537.839184611408 42
1.161 -540.246183407787 42
1.162 -542.682848029474 42
1.163 -545.101955857336 42
1.164 -547.501621307995 42
1.165 -549.883288065524 42
1.166 -552.276646429194 42
1.167 -554.678362902205 42
1.168 -557.013605425839 42
1.169 -559.286525686317 42
1.170 -561.465552470125 42
1.171 -563.650614441467 42
1.172 -565.839877225952 42
1.173 -568.062172337699 42
1.174 -570.240435476536 42
1.175 -572.376934732136 42
1.176 -574.473889212003 42
1.177 -576.547742975629 42
1.178 -578.54249101466 42
1.179 -580.464108855482 42
1.180 -582.317352939945 42
1.181 -584.112155267021 42
1.182 -585.82661550376 42
1.183 -587.46614582328 42
1.184 -589.035641115693 42
1.185 -590.538143222925 42
1.186 -592.021337547971 42
1.187 -593.427628296592 42
1.188 -594.76164978618 42
1.189 -596.029262030342 42
1.190 -597.235292734176 42
1.191 -598.38511277087 42
1.192 -599.473924483782 42
1.193 -600.552240277191 42
1.194 -601.624091208057 42
1.195 -602.674091112768 42
1.196 -603.703195394443 42
1.197 -604.667834976945 42
1.198 -605.624763783641 42
1.199 -606.573430007393 42
1.200 -607.633168469757 42
1.201 -608.683900369882 42
1.202 -609.744887393387 42
1.203 -610.642015004012 42
1.204 -611.534068900556 42
1.205 -612.447059577446 42
1.206 -613.376389801872 42
1.207 -614.211772447489 42
1.208 -615.047516951985 42
1.209 -615.885318635528 42
1.210 -616.726030664159 42
1.211 -617.523989234904 42
1.212 -618.329416603304 42
1.213 -619.142737372693 42
1.214 -619.964581812367 42
1.215 -620.796101503086 42
1.216 -621.496163916648 42
1.217 -622.177529947415 42
1.218 -622.875565762651 42
1.219 -623.642531622055 42
1.220 -624.515338205863 42
1.221 -625.447613948048 42
1.222 -626.420251898048 42
1.223 -627.39512900207 42
1.224 -628.401646556185 42
1.225 -629.460876144698 42
1.226 -630.475548758416 42
1.227 -631.553437477084 42
1.228 -632.648725565341 42
1.229 -633.76500811025 42
1.230 -634.815642787687 42
1.231 -635.885228163365 42
1.232 -636.974122808547 42
1.233 -638.160774512721 42
1.234 -639.37198711852 42
1.235 -640.546539963497 42
1.236 -641.717753926601 42
1.237 -642.913669312224 42
1.238 -644.158256898125 42
1.239 -645.453564533311 42
1.240 -646.801872377776 42
1.241 -648.196794361769 42
1.242 -649.650126687565 42
1.243 -651.165982387815 42
1.244 -652.748492363864 42
1.245 -654.402037486723 42
1.246 -656.214877972581 42
1.247 -658.168289011089 42
1.248 -660.276409753711 42
1.249 -662.483380121958 42
1.250 -664.602673492212 42
1.251 -666.700515551678 42
1.252 -668.97000381185 42
1.253 -671.523305935135 42
1.254 -673.431764495599 42
1.255 -674.871290909215 42
1.256 -676.686922195061 42
1.257 -678.70017181047 42
1.258 -680.869803725897 42
1.259 -683.161858306365 42
1.260 -685.577375365307 42
1.261 -688.111690845954 42
1.262 -690.772021241279 42
1.263 -693.131280906669 42
1.264 -695.831572316268 42
1.265 -698.816556740318 42
1.266 -702.038764590071 42
1.267 -705.395040495363 42
1.268 -708.786399554953 42
1.269 -712.215841573413 42
1.270 -715.679212496602 42
1.271 -719.175055887811 42
1.272 -722.702360916371 42
1.273 -726.24683207392 42
1.274 -729.813107373391 42
1.275 -733.450636227737 42
1.276 -736.912791972105 42
1.277 -740.166216342314 42
1.278 -743.405442010636 42
1.279 -746.644344024473 42
1.280 -749.897988217364 42
1.281 -753.166088875884 42
1.282 -756.447434248369 42
1.283 -759.741884081477 42
1.284 -763.051255638138 42
1.285 -766.378080941906 42
1.286 -769.715231035241 42
1.287 -773.062702944613 42
1.288 -776.420490644633 42
1.289 -779.788615145129 42
1.290 -783.166814827987 42
1.291 -786.554181800324 42
1.292 -789.950712904509 42
1.293 -793.393738386698 42
1.294 -796.843109291848 42
1.295 -800.295118175393 42
1.296 -803.743028508942 42
1.297 -807.189633301039 42
1.298 -810.634568049924 42
1.299 -814.076525237651 42
1.300 -817.51555634919 42
1.301 -820.951830068114 42
1.302 -824.385012218349 42
1.303 -827.819764045812 42
1.304 -831.254515873276 42
1.305 -834.664328731061 42
1.306 -838.259356683285 42
1.307 -842.066019173055 1
1.308 -845.872681662826 1
2.0 0 NaN
2.1 -3.70735105562921 2
2.2 -7.41470211125842 2
2.3 -11.1220531668876 2
2.4 -14.8294042225168 2
